"gene_id","Water","Drought","MeanDecreaseAccuracy","MeanDecreaseGini","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","seed_ortholog","evalue","score","eggNOG_OGs","tax_ceiling","farthest_donor_lineage","COG_category","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","annotation_confidence"
"Os04g0546900",1.00100150250438,1.00100150250438,1.00100150250438,0.00933333333333333,125.583058223134,-1.66879504619423,0.204777472253035,-8.14930972549641,3.66007426975007e-16,7.68452564386056e-15,"Down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Os04g0577375",1.00100150250438,1.00100150250438,1.00100150250438,0.012,37.2584094984597,-1.11014779901454,0.374395514041495,-2.96517387997204,0.00302511893603884,0.0109557419170335,"Down","39946.B8ATE3","7.74e-70","212","ATP-synt_Z@3398|A-1,ATP-synt_Z@4527|BT-11,ATP-synt_Z@4479|AT-9,ATP-synt_Z@1437197|H-4","Eukaryota","1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;71240;91827;1437201;71275;91835;72025;3803;3814;2231393;2231382;2233855;163735;40336;157652","S","LOC111240910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP-synt_Z_45_96","l-----------h"
"Os04g0632000",1.00100150250438,1.00100150250438,1.00100150250438,0.00866666666666667,80.2006224660433,-1.63679152976903,0.293103591554458,-5.58434484234191,2.34582836764861e-08,2.30756076749462e-07,"Down","4536.A0A0E0GKH4","7.73e-63","193","UNK.2PDE@131567|A-1*,UNK.2PDE@359160|G-3,UNK.2PDE@4527|N-6","Eukaryota","1;131567;2759;33090;35493;131221;3193;58023;78536;58024;3398;1437183;4447;1437197;4734;38820;4479;359160;147368;1648038;147389;1648030;4564;4572","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-------------"
"Os06g0712250",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667,74.5534718097305,-1.34757920907571,0.271914726620524,-4.95588902382749,7.20003053516012e-07,5.72621101138536e-06,"Down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Os07g0155600",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667,75.5733091409323,-2.0419866818279,0.274737047848761,-7.4325130076814,1.06553619923092e-13,1.85100916771804e-12,"Down","39947.Q0D8I9","0","2434","Nramp@131567|GK-10,Nramp@4479|Bzc-30","Eukaryota","1;131567;2759;2763;2797;3039357;3039359;83373;130081","S","EIN2","GO:0003682,GO:0003729,GO:0005515,GO:0005634,GO:0005737,GO:0005789,GO:0010104,GO:0042393",NA,"K14513","04016,04075",NA,NA,NA,"00001",NA,NA,NA,"Nramp_47_398","hh-hh---h---h"
"Os07g0438500",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667,808.015506427122,-1.12870089972086,0.0858164320053971,-13.1525032367913,1.64632411491065e-39,1.17574980539869e-37,"Down","39947.Q0D6U7","0","1654","PB1@131567|A-1*,PB1@1437197|ASa-24,PB1@3398|iX-20,PB1@35493|cl-19,PB1@2759|Eu-12,PB1@1437183|pj-21!","Eukaryota","1;131567;2759;33154;4751;451864;5204;29000;162481;55070;55071;34416;796604","S","LOC102718006","GO:0004712,GO:0005634,GO:0005737,GO:0007165,GO:0009733,GO:0010928,GO:0071365","ec:2.7.11.25,ec:3.2.1.45","K04420,K04421,K17108,K17987","00511,00600,01100,04010,04137,04140,04540,04722,04912,05166,05235",NA,NA,NA,"00001,01000,01001,03029,04131",NA,NA,NA,"PB1_182_266","mllll---l---h"
"Os07g0666900",1.00100150250438,1.00100150250438,1.00100150250438,0.0146666666666667,363.185706036862,1.28040733479182,0.124799217095664,10.2597385191154,1.06996069877967e-24,3.90445916415329e-23,"Up","39947.Q9SXJ8","0","1022","Na_H_Exchanger@2759|AQc-18,Na_H_Exchanger@131567|G-3,Na_H_Exchanger@3398|Pmq-35,Na_H_Exchanger@35493|FEu-26,Na_H_Exchanger@1437183|VpB-40","Eukaryota","1;131567;2759;33154;4751;451864;5204;5302;155619;355688;5303;1769247;2066992;34475","S","NHX1","GO:0005774,GO:0015385,GO:0015386,GO:0034486,GO:1901002","ec:5.2.1.8","K14724","04260",NA,NA,NA,"00001,02000",NA,NA,NA,"Na_H_Exchanger_27_441","hhlll---l---h"
"Os08g0550500",1.00100150250438,1.00100150250438,1.00100150250438,0.0106666666666667,55.5084840630726,-1.14683653592485,0.306288781261349,-3.74429821164845,0.000180898694527622,0.00090388621553634,"Down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Os12g0114900",1.00100150250438,1.00100150250438,1.00100150250438,0.00933333333333333,222.961325723387,9.28944677523555,1.0295805092541,9.02255500346011,1.83752696028166e-19,4.90255660035146e-18,"Up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Os12g0639600",1.00100150250438,1.00100150250438,1.00100150250438,0.012,42.2491671891795,2.45913492913638,0.405697942650114,6.06149223501784,1.34864400211805e-09,1.55423802053384e-08,"Up","4536.A0A0E0JCV4;39947.Q2QLJ8","1.02e-64;0","219;1419","GSDH@3398|ATc-22,GSDH@4479|BzL-27,GSDH@131567|z-6","Eukaryota","1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314145;91561;9834;9835;9836;9838","COG2133","LOC102708398","GO:0003674,GO:0005576,GO:0005739,GO:0005886,GO:0007165,GO:0007405,GO:0009536,GO:0009887,GO:0009953,GO:0009968,GO:0016020,GO:0016525,GO:0033333,GO:0033334,GO:0040036,GO:0043066,GO:0045879,GO:0048635,GO:0048705,GO:0060441",NA,"K06231","04024,04340,05200,05217",NA,NA,NA,"00001",NA,NA,NA,"GSDH_312_597;GSDH_221_504","ml-ll---l---h"
